"","individual","scans_sampled","degree","strength","betweenness","eigenvector","group","season_id","group_size","degree_normalized"
"1","Gha",18,7,0.292880915024689,0.119318181818182,0.387216072883661,"Ankhase","dry_2024",16,0.466666666666667
"2","Ghid",25,7,0.289035532857507,0.238636363636364,0.868138680499904,"Ankhase","dry_2024",16,0.466666666666667
"3","Ghid#4",1,1,0.0384615384615385,0,0.0959704928408791,"Ankhase","dry_2024",16,0.0666666666666667
"4","Gib",14,3,0.150836550836551,0.0265151515151515,0.0831174805303809,"Ankhase","dry_2024",16,0.2
"5","Giji",13,6,0.226582982132181,0.0416666666666667,0.508671309806081,"Ankhase","dry_2024",16,0.4
"6","Giji#4",2,2,0.103703703703704,0,0.207024574987793,"Ankhase","dry_2024",16,0.133333333333333
"7","Ginq",28,11,0.482033175695233,0.429924242424242,1,"Ankhase","dry_2024",16,0.733333333333333
"8","Ginq#4",1,1,0.125,0,0.116720064857936,"Ankhase","dry_2024",16,0.0666666666666667
"9","Gobe",11,4,0.166114396663596,0.0227272727272727,0.349645632358173,"Ankhase","dry_2024",16,0.266666666666667
"10","Gom",8,2,0.1875,0.0606060606060606,0.0566976484454082,"Ankhase","dry_2024",16,0.133333333333333
"11","Gon",8,2,0.153571428571429,0.0606060606060606,0.200754689877893,"Ankhase","dry_2024",16,0.133333333333333
"12","Gon#4",2,1,0.0714285714285714,0,0.332232238058241,"Ankhase","dry_2024",16,0.0666666666666667
"13","Gub",14,3,0.0889938521517469,0,0.23391308959331,"Ankhase","dry_2024",16,0.2
"14","Nci",9,3,0.219065656565657,0.174242424242424,0.129107444610037,"Ankhase","dry_2024",16,0.2
"15","Ncok",23,2,0.0779761904761905,0,0.0740754622181727,"Ankhase","dry_2024",16,0.133333333333333
"16","Ndaw",19,6,0.257400959425865,0.138257575757576,0.387359069600555,"Ankhase","dry_2024",16,0.4
"17","Ndaw#4",1,1,0.0357142857142857,0,0.166116119029121,"Ankhase","dry_2024",16,0.0666666666666667
"18","Ndin",14,7,0.299570662728557,0.304924242424242,0.369605521108292,"Ankhase","dry_2024",16,0.466666666666667
"19","Ndin#4",2,2,0.108465608465608,0,0.26141303783596,"Ankhase","dry_2024",16,0.133333333333333
"20","Ndl",10,2,0.0673400673400673,0,0.0967320115507877,"Ankhase","dry_2024",16,0.133333333333333
"21","Ndon",24,5,0.169353388865584,0.107954545454545,0.213036468074295,"Ankhase","dry_2024",16,0.333333333333333
"22","Sho",26,11,0.344926900584795,0.270833333333333,0.536464842537869,"Ankhase","dry_2024",16,0.733333333333333
"23","gha",1,1,0.0357142857142857,0,0.166116119029121,"Ankhase","dry_2024",16,0.0666666666666667
"24","ghid",1,1,0.0384615384615385,0,0.095970492840879,"Ankhase","dry_2024",16,0.0666666666666667
"25","gib",1,1,0.0357142857142857,0,0.166116119029121,"Ankhase","dry_2024",16,0.0666666666666667
"26","giji",1,1,0.0526315789473684,0,0.0948265467767215,"Ankhase","dry_2024",16,0.0666666666666667
"27","ginq",2,2,0.103703703703704,0.0284090909090909,0.118189382949548,"Ankhase","dry_2024",16,0.133333333333333
"28","gobe",2,2,0.0910931174089069,0.0359848484848485,0.250096586745771,"Ankhase","dry_2024",16,0.133333333333333
"29","gon",1,1,0.0714285714285714,0,0.12279486947649,"Ankhase","dry_2024",16,0.0666666666666667
"30","nci",2,2,0.102631578947368,0,0.184876760231973,"Ankhase","dry_2024",16,0.133333333333333
