group,date,experimenter,year
AK,13-Mar,lea,2025
AK,20-Mar,lea,2025
AK,25-Mar,lea,2025
AK,01-Apr,lea,2025
AK,22-Apr,lea,2025
AK,01-May,lea,2025
AK,03-May,lea,2025
AK,08-May,lea,2025
AK,10-May,lea,2025
AK,20-May,lea,2025
AK,27-May,lea,2025
AK,03-Jun,lea,2025
AK,09-Jun,lea,2025
AK,19-Jun,lea,2025
AK,08-Jul,lea,2025
AK,17-Jul,lea,2025
AK,22-Jul,lea,2025
NH,30-Apr,lea,2025
NH,17-May,lea,2025
NH,25-May,lea,2025
NH,31-May,lea,2025
NH,07-Jun,lea,2025
NH,10-Jun,lea,2025
NH,21-Jun,lea,2025
NH,25-Jun,lea,2025
NH,03-Jul,lea,2025
NH,12-Jul,lea,2025
NH,19-Jul,lea,2025
NH,26-Jul,lea,2025
NH,05-Aug,lea,2025
NH,20/09/2025,nive,2025
NH,08/10/2025,nive,2025
NH,15/10/2025,nive,2025
NH,29/10/2025,nive,2025
NH,13/11/2025,nive,2025
NH,27/11/2025,nive,2025
NH,19/12/2025,nive,2025
NH,02/01/2026,nive,2026
NH,14/01/2026,nive,2026
AK,25/09/2025,nive,2025
AK,14/10/2025,nive,2025
AK,25/10/2025,nive,2025
AK,08/11/2025,nive,2025
AK,22/11/2025,nive,2025
AK,09/12/2025,nive,2025
AK,24/12/2025,nive,2025
AK,10/01/2026,nive,2026
AK,20/01/2026,nive,2026
