"Ind1","Ind2","Group","season_id","co_occurrence_scans","total_observations","scans_individual_a","scans_individual_b","total_dyad_scans","association_rate"
"Gha","Ghid","Ankhase","dry_2025",16,16,31,143,158,0.10126582278481
"Gha","Giji","Ankhase","dry_2025",9,9,31,139,161,0.0559006211180124
"Ghid","Giji","Ankhase","dry_2025",22,22,143,139,260,0.0846153846153846
"Ghid","Sho","Ankhase","dry_2025",5,5,143,12,150,0.0333333333333333
"Gib","Giji","Ankhase","dry_2025",2,2,20,139,157,0.0127388535031847
"Giji","Gom","Ankhase","dry_2025",3,3,139,23,159,0.0188679245283019
"Giji","Gub","Ankhase","dry_2025",2,2,139,17,154,0.012987012987013
"Giji","Ncok","Ankhase","dry_2025",1,1,139,10,148,0.00675675675675676
"Giji","Ndl","Ankhase","dry_2025",3,3,139,18,154,0.0194805194805195
"Giji","Sho","Ankhase","dry_2025",1,1,139,12,150,0.00666666666666667
"Ginq","Gobe","Ankhase","dry_2025",1,1,10,6,15,0.0666666666666667
"Ginq","Gom","Ankhase","dry_2025",1,1,10,23,32,0.03125
"Ginq","Gon","Ankhase","dry_2025",1,1,10,27,36,0.0277777777777778
"Gom","Gon","Ankhase","dry_2025",1,1,23,27,49,0.0204081632653061
"Ndaw","Ndl","Ankhase","dry_2025",1,1,8,18,25,0.04
"Ghid","Giji","Ankhase","dry_2026",1,1,28,4,31,0.032258064516129
"Gom","Gon","Ankhase","dry_2026",3,3,11,21,29,0.103448275862069
"Gha","Ghid","Ankhase","wet_2025",4,4,8,113,117,0.0341880341880342
"Gha","Giji","Ankhase","wet_2025",3,3,8,95,100,0.03
"Gha","Gom","Ankhase","wet_2025",1,1,8,18,25,0.04
"Ghid","Giji","Ankhase","wet_2025",19,19,113,95,189,0.100529100529101
"Ghid","Gon","Ankhase","wet_2025",1,1,113,9,121,0.00826446280991736
"Ghid","Sho","Ankhase","wet_2025",11,11,113,55,157,0.0700636942675159
"Gib","Ndaw","Ankhase","wet_2025",1,1,12,4,15,0.0666666666666667
"Giji","Gom","Ankhase","wet_2025",3,3,95,18,110,0.0272727272727273
"Giji","Ndl","Ankhase","wet_2025",1,1,95,35,129,0.00775193798449612
"Giji","Sho","Ankhase","wet_2025",8,8,95,55,142,0.0563380281690141
"Gom","Ndl","Ankhase","wet_2025",1,1,18,35,52,0.0192307692307692
"Gon","Ndl","Ankhase","wet_2025",2,2,9,35,42,0.0476190476190476
"Ndaw","Ndin","Ankhase","wet_2025",1,1,4,7,10,0.1
"Ndin","Ndl","Ankhase","wet_2025",2,2,7,35,40,0.05
"Gree","Gri","Noha","dry_2025",4,4,28,50,74,0.0540540540540541
"Gree","Griv","Noha","dry_2025",1,1,28,44,71,0.0140845070422535
"Gree","Pom","Noha","dry_2025",2,2,28,7,33,0.0606060606060606
"Gri","Griv","Noha","dry_2025",2,2,50,44,92,0.0217391304347826
"Gri","Lus","Noha","dry_2025",3,3,50,61,108,0.0277777777777778
"Gri","Pom","Noha","dry_2025",2,2,50,7,55,0.0363636363636364
"Griv","Lus","Noha","dry_2025",1,1,44,61,104,0.00961538461538462
"Griv","Pom","Noha","dry_2025",1,1,44,7,50,0.02
"Gri","Griv","Noha","dry_2026",3,3,28,17,42,0.0714285714285714
"Gri","Lus","Noha","dry_2026",3,3,28,68,93,0.032258064516129
"Grim","Gris","Noha","dry_2026",1,1,9,8,16,0.0625
"Gris","Lus","Noha","dry_2026",2,2,8,68,74,0.027027027027027
"Gua","Pom","Noha","dry_2026",1,1,42,2,43,0.0232558139534884
"Lus","Pom","Noha","dry_2026",1,1,68,2,69,0.0144927536231884
"Gree","Gri","Noha","wet_2025",8,8,81,455,528,0.0151515151515152
"Gree","Gris","Noha","wet_2025",3,3,81,30,108,0.0277777777777778
"Gree","Gua","Noha","wet_2025",7,7,81,68,142,0.0492957746478873
"Gree","Pom","Noha","wet_2025",5,5,81,150,226,0.0221238938053097
"Gren","Gri","Noha","wet_2025",2,2,NA,455,NA,NA
"Gren","Lus","Noha","wet_2025",6,6,NA,124,NA,NA
"Gri","Griv","Noha","wet_2025",43,43,455,258,670,0.0641791044776119
"Gri","Gua","Noha","wet_2025",1,1,455,68,522,0.00191570881226054
"Gri","Lus","Noha","wet_2025",19,19,455,124,560,0.0339285714285714
"Gri","Pom","Noha","wet_2025",31,31,455,150,574,0.054006968641115
"Grim","Gris","Noha","wet_2025",2,2,16,30,44,0.0454545454545455
"Grim","Griv","Noha","wet_2025",10,10,16,258,264,0.0378787878787879
"Gris","Lus","Noha","wet_2025",5,5,30,124,149,0.0335570469798658
"Griv","Gua","Noha","wet_2025",2,2,258,68,324,0.00617283950617284
"Griv","Lus","Noha","wet_2025",22,22,258,124,360,0.0611111111111111
"Griv","Pom","Noha","wet_2025",16,16,258,150,392,0.0408163265306122
"Gua","Lus","Noha","wet_2025",1,1,68,124,191,0.00523560209424084
"Lus","Pom","Noha","wet_2025",5,5,124,150,269,0.0185873605947955
