"Ind1","Ind2","Group","season_id","co_occurrence_scans","total_observations","scans_individual_a","scans_individual_b","total_dyad_scans","association_rate"
"Gha","Ghid","Ankhase","dry_2025",21,21,31,143,153,0.137254901960784
"Gha","Giji","Ankhase","dry_2025",17,17,31,139,153,0.111111111111111
"Ghid","Giji","Ankhase","dry_2025",73,78,143,139,209,0.349282296650718
"Ghid","Gom","Ankhase","dry_2025",3,3,143,23,163,0.0184049079754601
"Ghid","Gub","Ankhase","dry_2025",2,2,143,17,158,0.0126582278481013
"Ghid","Sho","Ankhase","dry_2025",11,11,143,12,144,0.0763888888888889
"Gib","Giji","Ankhase","dry_2025",4,4,20,139,155,0.0258064516129032
"Gib","Ginq","Ankhase","dry_2025",2,2,20,10,28,0.0714285714285714
"Gib","Gub","Ankhase","dry_2025",1,1,20,17,36,0.0277777777777778
"Gib","Ndaw","Ankhase","dry_2025",1,1,20,8,27,0.037037037037037
"Gib","Ndl","Ankhase","dry_2025",5,5,20,18,33,0.151515151515152
"Giji","Ginq","Ankhase","dry_2025",3,3,139,10,146,0.0205479452054795
"Giji","Gobe","Ankhase","dry_2025",1,1,139,6,144,0.00694444444444444
"Giji","Gom","Ankhase","dry_2025",13,13,139,23,149,0.087248322147651
"Giji","Gon","Ankhase","dry_2025",6,6,139,27,160,0.0375
"Giji","Gub","Ankhase","dry_2025",12,12,139,17,144,0.0833333333333333
"Giji","Ncok","Ankhase","dry_2025",3,3,139,10,146,0.0205479452054795
"Giji","Ndl","Ankhase","dry_2025",4,4,139,18,153,0.0261437908496732
"Giji","Sho","Ankhase","dry_2025",10,10,139,12,141,0.0709219858156028
"Ginq","Gobe","Ankhase","dry_2025",1,1,10,6,15,0.0666666666666667
"Ginq","Gom","Ankhase","dry_2025",2,2,10,23,31,0.0645161290322581
"Ginq","Gon","Ankhase","dry_2025",3,3,10,27,34,0.0882352941176471
"Ginq","Gub","Ankhase","dry_2025",3,3,10,17,24,0.125
"Gobe","Gon","Ankhase","dry_2025",2,2,6,27,31,0.0645161290322581
"Gobe","Gub","Ankhase","dry_2025",2,2,6,17,21,0.0952380952380952
"Gom","Gon","Ankhase","dry_2025",2,2,23,27,48,0.0416666666666667
"Gom","Ndaw","Ankhase","dry_2025",2,2,23,8,29,0.0689655172413793
"Gom","Ndl","Ankhase","dry_2025",1,1,23,18,40,0.025
"Gon","Gub","Ankhase","dry_2025",4,4,27,17,40,0.1
"Gon","Ndl","Ankhase","dry_2025",1,1,27,18,44,0.0227272727272727
"Gub","Ncok","Ankhase","dry_2025",1,1,17,10,26,0.0384615384615385
"Ndaw","Ndl","Ankhase","dry_2025",4,4,8,18,22,0.181818181818182
"Ghid","Giji","Ankhase","dry_2026",4,4,28,4,28,0.142857142857143
"Ghid","Gom","Ankhase","dry_2026",13,13,28,11,26,0.5
"Ghid","Gon","Ankhase","dry_2026",8,8,28,21,41,0.195121951219512
"Gib","Ndaw","Ankhase","dry_2026",9,9,25,10,26,0.346153846153846
"Giji","Gom","Ankhase","dry_2026",1,1,4,11,14,0.0714285714285714
"Gom","Gon","Ankhase","dry_2026",7,7,11,21,25,0.28
"Gom","Ndl","Ankhase","dry_2026",7,7,11,10,14,0.5
"Gon","Ndl","Ankhase","dry_2026",6,6,21,10,25,0.24
"Ndin","Ndl","Ankhase","dry_2026",2,2,27,10,35,0.0571428571428571
"Gha","Ghid","Ankhase","wet_2025",4,4,8,113,117,0.0341880341880342
"Gha","Giji","Ankhase","wet_2025",4,4,8,95,99,0.0404040404040404
"Gha","Gom","Ankhase","wet_2025",2,2,8,18,24,0.0833333333333333
"Gha","Sho","Ankhase","wet_2025",1,1,8,55,62,0.0161290322580645
"Ghid","Gib","Ankhase","wet_2025",1,1,113,12,124,0.00806451612903226
"Ghid","Giji","Ankhase","wet_2025",46,46,113,95,162,0.283950617283951
"Ghid","Gom","Ankhase","wet_2025",7,7,113,18,124,0.0564516129032258
"Ghid","Gon","Ankhase","wet_2025",3,3,113,9,119,0.0252100840336134
"Ghid","Sho","Ankhase","wet_2025",28,28,113,55,140,0.2
"Gib","Giji","Ankhase","wet_2025",1,1,12,95,106,0.00943396226415094
"Gib","Gom","Ankhase","wet_2025",3,3,12,18,27,0.111111111111111
"Gib","Ndaw","Ankhase","wet_2025",2,2,12,4,14,0.142857142857143
"Gib","Sho","Ankhase","wet_2025",2,2,12,55,65,0.0307692307692308
"Giji","Gom","Ankhase","wet_2025",6,6,95,18,107,0.0560747663551402
"Giji","Ndl","Ankhase","wet_2025",5,5,95,35,125,0.04
"Giji","Sho","Ankhase","wet_2025",29,29,95,55,121,0.239669421487603
"Gom","Ndaw","Ankhase","wet_2025",1,1,18,4,21,0.0476190476190476
"Gom","Ndl","Ankhase","wet_2025",1,1,18,35,52,0.0192307692307692
"Gom","Sho","Ankhase","wet_2025",3,3,18,55,70,0.0428571428571429
"Gon","Ndl","Ankhase","wet_2025",6,6,9,35,38,0.157894736842105
"Ndaw","Ndin","Ankhase","wet_2025",1,1,4,7,10,0.1
"Ndin","Ndl","Ankhase","wet_2025",4,4,7,35,38,0.105263157894737
"Gree","Gri","Noha","dry_2025",8,8,28,50,70,0.114285714285714
"Gree","Grim","Noha","dry_2025",1,1,28,3,30,0.0333333333333333
"Gree","Griv","Noha","dry_2025",1,1,28,44,71,0.0140845070422535
"Gree","Pom","Noha","dry_2025",4,4,28,7,31,0.129032258064516
"Gri","Griv","Noha","dry_2025",33,33,50,44,61,0.540983606557377
"Gri","Lus","Noha","dry_2025",24,24,50,61,87,0.275862068965517
"Gri","Pom","Noha","dry_2025",4,4,50,7,53,0.0754716981132075
"Grim","Gua","Noha","dry_2025",1,1,3,50,52,0.0192307692307692
"Gris","Gua","Noha","dry_2025",3,3,12,50,59,0.0508474576271186
"Griv","Gua","Noha","dry_2025",2,2,44,50,92,0.0217391304347826
"Griv","Lus","Noha","dry_2025",26,26,44,61,79,0.329113924050633
"Griv","Pom","Noha","dry_2025",1,1,44,7,50,0.02
"Gua","Lus","Noha","dry_2025",13,13,50,61,98,0.13265306122449
"Gri","Griv","Noha","dry_2026",7,7,28,17,38,0.184210526315789
"Gri","Gua","Noha","dry_2026",1,1,28,42,69,0.0144927536231884
"Gri","Lus","Noha","dry_2026",19,19,28,68,77,0.246753246753247
"Gri","Pom","Noha","dry_2026",2,2,28,2,28,0.0714285714285714
"Grim","Gris","Noha","dry_2026",1,1,9,8,16,0.0625
"Grim","Gua","Noha","dry_2026",4,4,9,42,47,0.0851063829787234
"Grim","Lus","Noha","dry_2026",7,7,9,68,70,0.1
"Gris","Lus","Noha","dry_2026",2,2,8,68,74,0.027027027027027
"Griv","Gua","Noha","dry_2026",7,7,17,42,52,0.134615384615385
"Griv","Lus","Noha","dry_2026",6,6,17,68,79,0.0759493670886076
"Griv","Pom","Noha","dry_2026",2,2,17,2,17,0.117647058823529
"Gua","Lus","Noha","dry_2026",7,7,42,68,103,0.0679611650485437
"Gua","Pom","Noha","dry_2026",1,1,42,2,43,0.0232558139534884
"Lus","Pom","Noha","dry_2026",3,3,68,2,67,0.0447761194029851
"Lus","Riva","Noha","dry_2026",1,1,68,NA,NA,NA
"Gree","Gri","Noha","wet_2025",19,19,81,455,517,0.0367504835589942
"Gree","Grim","Noha","wet_2025",7,7,81,16,90,0.0777777777777778
"Gree","Gris","Noha","wet_2025",7,7,81,30,104,0.0673076923076923
"Gree","Griv","Noha","wet_2025",6,6,81,258,333,0.018018018018018
"Gree","Gua","Noha","wet_2025",10,10,81,68,139,0.0719424460431655
"Gree","Lus","Noha","wet_2025",1,1,81,124,204,0.00490196078431373
"Gree","Pom","Noha","wet_2025",16,16,81,150,215,0.0744186046511628
"Gree","Prag","Noha","wet_2025",5,5,81,13,89,0.0561797752808989
"Gree","Unkaf","Noha","wet_2025",1,1,81,NA,NA,NA
"Gren","Gri","Noha","wet_2025",6,6,NA,455,NA,NA
"Gren","Grim","Noha","wet_2025",1,1,NA,16,NA,NA
"Gren","Griv","Noha","wet_2025",6,6,NA,258,NA,NA
"Gren","Gua","Noha","wet_2025",7,7,NA,68,NA,NA
"Gren","Lus","Noha","wet_2025",7,7,NA,124,NA,NA
"Gri","Grim","Noha","wet_2025",2,2,455,16,469,0.00426439232409382
"Gri","Gris","Noha","wet_2025",8,8,455,30,477,0.0167714884696017
"Gri","Griv","Noha","wet_2025",140,140,455,258,573,0.244328097731239
"Gri","Gua","Noha","wet_2025",7,7,455,68,516,0.0135658914728682
"Gri","Lus","Noha","wet_2025",78,78,455,124,501,0.155688622754491
"Gri","Pom","Noha","wet_2025",74,76,455,150,531,0.139359698681733
"Gri","Xop","Noha","wet_2025",2,2,455,14,467,0.00428265524625268
"Grim","Gris","Noha","wet_2025",3,3,16,30,43,0.0697674418604651
"Grim","Griv","Noha","wet_2025",12,12,16,258,262,0.0458015267175573
"Grim","Gua","Noha","wet_2025",3,3,16,68,81,0.037037037037037
"Grim","Lus","Noha","wet_2025",1,1,16,124,139,0.00719424460431655
"Grim","Prag","Noha","wet_2025",3,3,16,13,26,0.115384615384615
"Gris","Griv","Noha","wet_2025",2,2,30,258,286,0.00699300699300699
"Gris","Lus","Noha","wet_2025",7,7,30,124,147,0.0476190476190476
"Griv","Gua","Noha","wet_2025",3,3,258,68,323,0.00928792569659443
"Griv","Lus","Noha","wet_2025",62,62,258,124,320,0.19375
"Griv","Pom","Noha","wet_2025",51,51,258,150,357,0.142857142857143
"Griv","Xop","Noha","wet_2025",2,2,258,14,270,0.00740740740740741
"Gua","Lus","Noha","wet_2025",6,6,68,124,186,0.032258064516129
"Gua","Pom","Noha","wet_2025",3,3,68,150,215,0.013953488372093
"Lus","Pom","Noha","wet_2025",11,11,124,150,263,0.0418250950570342
